libbz2-dev/kali-rolling,now 1.0.6-8.1 amd64 [installed]
libclass-isa-perl/kali-rolling,now 0.36-5 all [installed]
libcomerr2/kali-rolling,now 1.43.7-1 amd64 [installed]
libcppunit-dev/kali-rolling,now 1.14.0-3 amd64 [installed]
libcryptsetup4/kali-rolling,now 2:1.7.5-1kali1 amd64 [installed]
libdvdcss2/stable,now 1.2.13-0 amd64 [installed]
libdvdnav4/kali-rolling,now 5.0.3-3 amd64 [installed]
libdvdread4/kali-rolling,now 5.0.3-2 amd64 [installed]
libestr0/kali-rolling,now 0.1.10-2.1 amd64 [installed]
libevent-dev/kali-rolling,now 2.1.8-stable-4 amd64 [installed]
libfdisk1/kali-rolling,now 2.30.2-0.1 amd64 [installed]
libgcrypt20/kali-rolling,now 1.8.1-4 amd64 [installed]
libgdbm3/kali-rolling,now 1.8.3-14 amd64 [installed]
libgmp10/kali-rolling,now 2:6.1.2+dfsg-1.1 amd64 [installed]
libgnutls-openssl27/kali-rolling,now 3.5.16-1 amd64 [installed]
libgpg-error0/kali-rolling,now 1.27-5 amd64 [installed]
libgsl-dev/kali-rolling,now 2.4+dfsg-6 amd64 [installed]
libkmod2/kali-rolling,now 24-1 amd64 [installed]
liblocale-gettext-perl/kali-rolling,now 1.07-3+b3 amd64 [installed]
liblog4cpp5-dev/kali-rolling,now 1.1.1-3 amd64 [installed]
liblogging-stdlog0/kali-rolling,now 1.0.6-1 amd64 [installed]
liblzma5/kali-rolling,now 5.2.2-1.3 amd64 [installed]
libmnl0/kali-rolling,now 1.0.4-2 amd64 [installed]
libmount1/kali-rolling,now 2.30.2-0.1 amd64 [installed]
libnetfilter-acct1/kali-rolling,now 1.0.3-1 amd64 [installed]
libnewt0.52/kali-rolling,now 0.52.20-1+b1 amd64 [installed]
libnfnetlink0/kali-rolling,now 1.0.1-3+b1 amd64 [installed]
libosmocore/kali-rolling,now 0.9.0-7 amd64 [installed]
libosmocore-dev/kali-rolling,now 0.9.0-7 amd64 [installed]
libosmosdr-dev/kali-rolling,now 0.1.8.effcaa7-7+b1 amd64 [installed]
libp11-kit0/kali-rolling,now 0.23.9-2 amd64 [installed]
libpam-modules/kali-rolling,now 1.1.8-3.6 amd64 [installed]
libpam-modules-bin/kali-rolling,now 1.1.8-3.6 amd64 [installed]
libpam-runtime/kali-rolling,now 1.1.8-3.6 all [installed]
libpam0g/kali-rolling,now 1.1.8-3.6 amd64 [installed]
libpipeline1/kali-rolling,now 1.5.0-1 amd64 [installed]
libpopt0/kali-rolling,now 1.16-10+b2 amd64 [installed]
libqt4-dev/kali-rolling,now 4:4.8.7+dfsg-11 amd64 [installed]
libqwt-dev/kali-rolling,now 6.1.2-6 amd64 [installed]
libqwt5-qt4/kali-rolling,now 5.2.3-1 amd64 [installed]
libseccomp2/kali-rolling,now 2.3.1-2.1 amd64 [installed]
libselinux1/kali-rolling,now 2.7-2 amd64 [installed]
libsemanage-common/kali-rolling,now 2.7-2 all [installed]
libsemanage1/kali-rolling,now 2.7-2 amd64 [installed]
libsepol1/kali-rolling,now 2.7-1 amd64 [installed]
libslang2/kali-rolling,now 2.3.1a-1 amd64 [installed]
libsmartcols1/kali-rolling,now 2.30.2-0.1 amd64 [installed]
libss2/kali-rolling,now 1.43.7-1 amd64 [installed]
libssl-dev/kali-rolling,now 1.1.0g-2 amd64 [installed]
libswitch-perl/kali-rolling,now 2.17-2 all [installed]
libtalloc-dev/kali-rolling,now 2.1.10-2 amd64 [installed]
libtext-charwidth-perl/kali-rolling,now 0.04-7.1 amd64 [installed]
libtext-iconv-perl/kali-rolling,now 1.7-5+b6 amd64 [installed]
libtext-wrapi18n-perl/kali-rolling,now 0.06-7.1 all [installed]
libtool/kali-rolling,now 2.4.6-2 all [installed]
libusb-0.1-4/kali-rolling,now 2:0.1.12-31 amd64 [installed]
libusb-1.0-0-dev/kali-rolling,now 2:1.0.21-2 amd64 [installed]
libustr-1.0-1/kali-rolling,now 1.0.4-6 amd64 [installed]
